name,amount,candidate_or_measure,tx_date,committee_name,position,tag
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1956.0,PARAG GUPTA,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,784.0,PARAG GUPTA,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,243.0,PARAG GUPTA,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,4235.0,PARAG GUPTA,2024-10-28,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1471.0,SUPRYIA RAY,2024-09-29,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,157.0,SUPRYIA RAY,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,35.0,SUPRYIA RAY,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,3431.0,SUPRYIA RAY,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,2627.0,SUPRYIA RAY,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1956.0,SUPRYIA RAY,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,784.0,SUPRYIA RAY,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,243.0,SUPRYIA RAY,2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,4235.0,SUPRYIA RAY,2024-10-28,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by TogetherSF Action,200.0,SCHOOLS IMPROVEMENT AND SAFETY BOND,2024-09-05,TogetherSF Action,SUPPORT,TogetherSF
Independent Expenditure by TogetherSF Action,955.0,SCHOOLS IMPROVEMENT AND SAFETY BOND,2024-09-05,TogetherSF Action,SUPPORT,TogetherSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1471.0,SCHOOLS IMPROVEMENT AND SAFETY BOND,2024-09-29,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1956.0,SCHOOLS IMPROVEMENT AND SAFETY BOND,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,157.0,SCHOOLS IMPROVEMENT AND SAFETY BOND,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,2627.0,SCHOOLS IMPROVEMENT AND SAFETY BOND,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,3431.0,SCHOOLS IMPROVEMENT AND SAFETY BOND,2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,SUPPORT,GrowSF
Independent Expenditure by TogetherSF Action,219.0,"FUNDING RENTAL SUBSIDIES FOR AFFORDABLE HOUSING DEVELOPMENTS SERVING LOW INCOME SENIORS, FAMILIES, AND PERSONS WITH DISABILITIES ",2024-09-05,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by TogetherSF Action,781.0,"FUNDING RENTAL SUBSIDIES FOR AFFORDABLE HOUSING DEVELOPMENTS SERVING LOW INCOME SENIORS, FAMILIES, AND PERSONS WITH DISABILITIES ",2024-09-05,TogetherSF Action,OPPOSE,TogetherSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1471.0,"FUNDING RENTAL SUBSIDIES FOR AFFORDABLE HOUSING DEVELOPMENTS SERVING LOW INCOME SENIORS, FAMILIES, AND PERSONS WITH DISABILITIES ",2024-09-29,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,35.0,"FUNDING RENTAL SUBSIDIES FOR AFFORDABLE HOUSING DEVELOPMENTS SERVING LOW INCOME SENIORS, FAMILIES, AND PERSONS WITH DISABILITIES ",2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,3431.0,"FUNDING RENTAL SUBSIDIES FOR AFFORDABLE HOUSING DEVELOPMENTS SERVING LOW INCOME SENIORS, FAMILIES, AND PERSONS WITH DISABILITIES ",2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,2627.0,"FUNDING RENTAL SUBSIDIES FOR AFFORDABLE HOUSING DEVELOPMENTS SERVING LOW INCOME SENIORS, FAMILIES, AND PERSONS WITH DISABILITIES ",2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,1956.0,"FUNDING RENTAL SUBSIDIES FOR AFFORDABLE HOUSING DEVELOPMENTS SERVING LOW INCOME SENIORS, FAMILIES, AND PERSONS WITH DISABILITIES ",2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,157.0,"FUNDING RENTAL SUBSIDIES FOR AFFORDABLE HOUSING DEVELOPMENTS SERVING LOW INCOME SENIORS, FAMILIES, AND PERSONS WITH DISABILITIES ",2024-10-01,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,243.0,"FUNDING RENTAL SUBSIDIES FOR AFFORDABLE HOUSING DEVELOPMENTS SERVING LOW INCOME SENIORS, FAMILIES, AND PERSONS WITH DISABILITIES ",2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,784.0,"FUNDING RENTAL SUBSIDIES FOR AFFORDABLE HOUSING DEVELOPMENTS SERVING LOW INCOME SENIORS, FAMILIES, AND PERSONS WITH DISABILITIES ",2024-10-03,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
Independent Expenditure by Coalition to Grow San Francisco - Grow SF PAC,4235.0,"FUNDING RENTAL SUBSIDIES FOR AFFORDABLE HOUSING DEVELOPMENTS SERVING LOW INCOME SENIORS, FAMILIES, AND PERSONS WITH DISABILITIES ",2024-10-28,Coalition to Grow San Francisco - Grow SF PAC,OPPOSE,GrowSF
